Boeing 777-200,6.83 kg/km (24.2 lb/mi)
Boeing 777-200ER,6.96 kg/km (24.7 lb/mi)
Boeing 777-300,7.88 kg/km (28.0 lb/mi)
Boeing 787-8,5.26 kg/km (18.7 lb/mi)
Boeing 787-8,5.11 kg/km (18.1 lb/mi)
Boeing 787-9,5.77 kg/km (20.5 lb/mi)
Irkut MC-21-300,3.04 kg/km (10.8 lb/mi)
Airbus A330-200,6.4 kg/km (23 lb/mi)
Airbus A330-200,6.55 kg/km (23.2 lb/mi)
Airbus A330-300,6.81 kg/km (24.2 lb/mi)
Airbus A330-800,5.45 kg/km (19.3 lb/mi)
Airbus A330-900,5.94 kg/km (21.1 lb/mi)
Airbus A340-300,7.32 kg/km (26.0 lb/mi)
Airbus A350-900,6.03 kg/km (21.4 lb/mi)
Airbus A350-900,6.52 kg/km (23.1 lb/mi)
Airbus A350-900,7.07 kg/km (25.1 lb/mi)
Airbus A350-1000,7.46 kg/km (26.5 lb/mi)
Airbus A350-1000,7.58 kg/km (26.9 lb/mi)
Airbus A380,13.78 kg/km (48.9 lb/mi)
Airbus A380,13.78 kg/km (48.9 lb/mi)
Boeing 747-400,11.11 kg/km (39.4 lb/mi)
Boeing 747-400,11.82 kg/km (41.9 lb/mi)
Boeing 747-400,12.31 kg/km (43.7 lb/mi)
Boeing 747-8,10.54 kg/km (37.4 lb/mi)
Boeing 747-8,10.9 kg/km (39 lb/mi)
Boeing 777-200ER,7.57 kg/km (26.9 lb/mi)
Boeing 777-200ER,7.42 kg/km (26.3 lb/mi)
Boeing 777-200ER,7.44 kg/km (26.4 lb/mi)
Boeing 777-200LR,7.57 kg/km (26.9 lb/mi)
Boeing 777-300ER,8.86 kg/km (31.4 lb/mi)
Boeing 777-300ER,8.49 kg/km (30.1 lb/mi)
Boeing 777-300ER,8.58 kg/km (30.4 lb/mi)
Boeing 777-9X,7.69 kg/km (27.3 lb/mi)
Boeing 787-8,5.38 kg/km (19.1 lb/mi)
Boeing 787-8 GEnx,5.3 kg/km (19 lb/mi)
Boeing 787-8 Trent,5.51 kg/km (19.5 lb/mi)
Boeing 787-9 GEnx,5.85 kg/km (20.8 lb/mi)
Boeing 787-9,5.63 kg/km (20.0 lb/mi)
Boeing 787-9 GEnx,5.62 kg/km (19.9 lb/mi)
Boeing 787-9,7.18 kg/km (25.5 lb/mi)
Boeing 787-10 GEnx,6.12 kg/km (21.7 lb/mi)
Boeing 787-10 Trent,6.24 kg/km (22.1 lb/mi)
